"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Lat Pulldown (Cable)",,"",0,"normal",30,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Lat Pulldown (Cable)",,"",1,"normal",48,9,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Lat Pulldown (Cable)",,"",2,"normal",48,8,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Lat Pulldown (Cable)",,"",3,"normal",42,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Lat Pulldown (Cable)",,"",4,"failure",42,8,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Chest Press (Machine)",,"",0,"normal",21,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Chest Press (Machine)",,"",1,"normal",61,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Chest Press (Machine)",,"",2,"normal",61,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Chest Press (Machine)",,"",3,"normal",61,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Chest Press (Machine)",,"",4,"failure",61,8,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",54,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",48,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",48,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Skullcrusher (Barbell)",,"",0,"normal",24.5,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Skullcrusher (Barbell)",,"",1,"normal",24.5,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Skullcrusher (Barbell)",,"",2,"normal",24.5,9,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Skullcrusher (Barbell)",,"",3,"failure",24.5,6,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Bicep Curl (Barbell)",,"",0,"normal",27,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Bicep Curl (Barbell)",,"",1,"normal",27,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Bicep Curl (Barbell)",,"",2,"normal",27,8,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Bicep Curl (Barbell)",,"",3,"failure",27,7,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Lateral Raise (Dumbbell)",,"",0,"normal",10,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Lateral Raise (Dumbbell)",,"",1,"normal",10,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Lateral Raise (Dumbbell)",,"",2,"normal",10,10,,,
"Day UpperBody","12 Jul 2026, 10:10","12 Jul 2026, 11:15","","Lateral Raise (Dumbbell)",,"",3,"failure",10,10,,,
"Day UpperBody","10 Jul 2026, 10:01","10 Jul 2026, 11:06","","Lat Pulldown (Cable)",,"",0,"normal",30,10,,,
"Day UpperBody","10 Jul 2026, 10:01","10 Jul 2026, 11:06","","Lat Pulldown (Cable)",,"",1,"normal",48,10,,,
"Day UpperBody","10 Jul 2026, 10:01","10 Jul 2026, 11:06","","Lat Pulldown (Cable)",,"",2,"normal",48,9,,,
